"","ORF","GENENAME"
"3113","PF3D7_0914900","BSD-domain protein, putative"
"3114","PF3D7_0915000","type II NADH:ubiquinone oxidoreductase (NDH2)"
"3115","PF3D7_0915100","SUMO-conjugating enzyme UBC9 (UBC9)"
"3116","PF3D7_0915200","ribonuclease H2 subunit C, putative"
"3117","PF3D7_0915300","conserved Plasmodium protein, unknown function"
"3118","PF3D7_0915400","6-phosphofructokinase (PFK9)"
"3119","PF3D7_0915500","conserved Plasmodium protein, unknown function"
"3120","PF3D7_0915600","conserved Plasmodium protein, unknown function"
"3121","PF3D7_0915700","conserved Plasmodium protein, unknown function"
"3122","PF3D7_0915800","glycolipid transfer protein, putative (GLTP)"
"3123","PF3D7_0915900","conserved Plasmodium protein, unknown function"
"3124","PF3D7_0916000","sugar transporter, putative"
"3125","PF3D7_0916100","thioredoxin 3 (TRX3)"
"3126","PF3D7_0916200","conserved Plasmodium protein, unknown function"
"3127","PF3D7_0916300","conserved Plasmodium protein, unknown function"
"3128","PF3D7_0916400","conserved Plasmodium protein, unknown function"
"3129","PF3D7_0916500","ubiquitin fusion degradation protein 1 (UFD1)"
"3130","PF3D7_0916600","methyltransferase, putative"
"3131","PF3D7_0916700","RNA-binding protein musashi, putative (HoMu)"
"3132","PF3D7_0916800","conserved Plasmodium protein, unknown function"
"3133","PF3D7_0916900","conserved Plasmodium protein, unknown function"
"3134","PF3D7_0917000","conserved Plasmodium protein, unknown function"
"3135","PF3D7_0917100","N-glycosylase/DNA lyase, putative (OGG1)"
"3136","PF3D7_0917200","conserved Plasmodium membrane protein, unknown function"
"3137","PF3D7_0917300","conserved Plasmodium membrane protein, unknown function"
"3138","PF3D7_0917400","conserved Plasmodium protein, unknown function"
"3139","PF3D7_0917500","conserved Plasmodium protein, unknown function"
"3140","PF3D7_0917600","pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative (PRP43)"
"3141","PF3D7_0917700","XPA binding protein 1, putative"
"3142","PF3D7_0917800","conserved Plasmodium protein, unknown function"
"3143","PF3D7_0917900","heat shock protein 70 (HSP70-2)"
"3144","PF3D7_0918000","glideosome-associated protein 50 (GAP50)"
"3145","PF3D7_0918100","cytochrome b5-like heme/steroid binding protein, putative"
"3146","PF3D7_0918200.1",NA
"3147","PF3D7_0918300","eukaryotic translation initiation factor 3 subunit F, putative (EIF3F)"
"3148","PF3D7_0918400","conserved Plasmodium protein, unknown function"
"3149","PF3D7_0918500","telomerase RNA (TR)"
"3150","PF3D7_0918600","ATP-dependent DNA helicase Q1 (RECQ1)"
"3151","PF3D7_0918700","conserved Plasmodium protein, unknown function"
"3152","PF3D7_0918800","dihydrouridine synthase, putative"
"3153","PF3D7_0918900","gamma-glutamylcysteine synthetase (gammaGCS)"
"3154","PF3D7_0919000","nucleosome assembly protein (NAPS)"
"3155","PF3D7_0919100","DnaJ protein, putative"
"3156","PF3D7_0919200","PPPDE peptidase, putative"
"3157","PF3D7_0919300","thioredoxin-like protein 1, putative (TrxL1)"
"3158","PF3D7_0919400","protein disulfide isomerase (PDI9)"
"3159","PF3D7_0919500","sugar transporter, putative"
"3160","PF3D7_0919600","dolichyl-diphosphooligosaccharide--protein glycosyltransferase, putative"
"3161","PF3D7_0919700","pyridoxal 5'-phosphate dependent enzyme class III, putative"
"3162","PF3D7_0919800","TLD domain-containing protein"
"3163","PF3D7_0919900","regulator of chromosome condensation, putative"
"3164","PF3D7_0920000","long chain fatty acid elongation enzyme, putative (ELO3)"
"3165","PF3D7_0920100","chaperone, putative"
"3166","PF3D7_0920200","CS domain protein, putative"
"3167","PF3D7_0920300","conserved Plasmodium protein, unknown function"
"3168","PF3D7_0920400","conserved Plasmodium protein, unknown function"
"3169","PF3D7_0920500","ADP-ribosylation factor, putative"
"3170","PF3D7_0920600","conserved Plasmodium protein, unknown function"
"3171","PF3D7_0920700","conserved Plasmodium protein, unknown function"
"3172","PF3D7_0920800","inosine-5'-monophosphate dehydrogenase (IMPDH)"
"3173","PF3D7_0920900","U4/U6 snRNA-associated-splicing factor, putative (PRP24)"
"3174","PF3D7_0921000.1","ubiquitin-conjugating enzyme, putative"
"3175","PF3D7_0921100","conserved Plasmodium protein, unknown function"
"3176","PF3D7_0921200","conserved Plasmodium membrane protein, unknown function"
"3177","PF3D7_0921300","conserved Plasmodium protein, unknown function"
"3178","PF3D7_0921400","NifU-like scaffold protein, putative (NifU)"
"3179","PF3D7_0921500","conserved Plasmodium protein, unknown function"
"3180","PF3D7_0921600","tetratricopeptide repeat family protein, putative"
"3181","PF3D7_0921700","conserved Plasmodium protein, unknown function"
"3182","PF3D7_0921800","ribosome production factor 1, putative (RPF1)"
"3183","PF3D7_0921900","conserved Plasmodium protein, unknown function"
"3184","PF3D7_0922000","dynein intermediate chain, putative"
"3185","PF3D7_0922100","ubiquitin-like protein, putative"
"3186","PF3D7_0922200","S-adenosylmethionine synthetase (SAMS)"
"3187","PF3D7_0922300","conserved Plasmodium protein, unknown function"
"3188","PF3D7_0922400","para-aminobenzoic acid synthetase (pBAS)"
"3189","PF3D7_0922500","phosphoglycerate kinase (PGK)"
"3190","PF3D7_0922600","glutamine synthetase, putative"
"3191","PF3D7_0922700","pre-mRNA-splicing factor 18, putative (PRP18)"
"3192","PF3D7_0922800","conserved Plasmodium protein, unknown function"
"3193","PF3D7_0922900","3-oxoacyl-[acyl-carrier-protein] reductase (FabG)"
"3194","PF3D7_0923000","DNA-directed RNA polymerase II subunit RPB3, putative (RPB3)"
"3195","PF3D7_0923100","OTU-like cysteine protease, putative"
"3196","PF3D7_0923200","flavodoxin-like protein (CPR)"
"3197","PF3D7_0923300","perforin-like protein 3 (PLP3)"
"3198","PF3D7_0923400","conserved Plasmodium protein, unknown function"
"3199","PF3D7_0923500","cyclin-dependent kinases regulatory subunit, putative"
"3200","PF3D7_0923600","lipoate-protein ligase 2 (LipL2)"
"3201","PF3D7_0923700","conserved protein, unknown function"
"3202","PF3D7_0923800.1","thioredoxin reductase (TRXR)"
"3203","PF3D7_0923900","RNA-binding protein, putative"
"3204","PF3D7_0924000","patatin-like phospholipase, putative"
"3205","PF3D7_0924100","conserved Plasmodium protein, unknown function"
"3206","PF3D7_0924200","conserved Plasmodium protein, unknown function"
"3207","PF3D7_0924300","thiamine pyrophosphokinase (TPK)"
"3208","PF3D7_0924400","conserved Plasmodium protein, unknown function"
"3209","PF3D7_0924500","conserved Plasmodium membrane protein, unknown function"
"3210","PF3D7_0924600","conserved Plasmodium protein, unknown function"
"3211","PF3D7_0924700","splicing factor 3A subunit 3, putative (SF3A3)"
"3212","PF3D7_0924800","telomeric repeat binding factor 1, putative (TRF1)"
"3213","PF3D7_0924900","alpha-tubulin N-acetyltransferase, putative"
"3214","PF3D7_0925000","conserved Plasmodium protein, unknown function"
"3215","PF3D7_0925100","conserved Plasmodium protein, unknown function"
"3216","PF3D7_0925200","ribosomal RNA-processing protein 8, putative (RRP8)"
"3217","PF3D7_0925300","proline--tRNA ligase, putative (aPRS)"
"3218","PF3D7_0925400","protein phosphatase-beta"
"3219","PF3D7_0925500","thioredoxin-like protein 2 (TLP2)"
"3220","PF3D7_0925600","zinc binding protein (Yippee), putative"
"3221","PF3D7_0925700","histone deacetylase 1 (HDAC1)"
"3222","PF3D7_0925800","conserved Plasmodium protein, unknown function"
"3223","PF3D7_0925900","conserved Plasmodium protein, unknown function"
"3224","PF3D7_0926000","protein kinase, putative"
"3225","PF3D7_0926100","protein kinase, putative"
"3226","PF3D7_0926200","conserved Plasmodium protein, unknown function"
"3227","PF3D7_0926300","protein kinase, putative"
"3228","PF3D7_0926400","monocarboxylate transporter, putative"
"3229","PF3D7_0926500","conserved Plasmodium protein, unknown function"
"3230","PF3D7_0926600","conserved Plasmodium membrane protein, unknown function"
"3231","PF3D7_0926700","glutamine-dependent NAD(+) synthetase, putative (NADSYN)"
"3232","PF3D7_0926800","conserved Plasmodium protein, unknown function"
"3233","PF3D7_0926900","replication termination factor, putative"
"3234","PF3D7_0927000","CS domain protein, putative"
"3235","PF3D7_0927100","conserved Plasmodium protein, unknown function"
"3236","PF3D7_0927200","zinc finger protein, putative"
"3237","PF3D7_0927300","fumarate hydratase, putative (FH)"
"3238","PF3D7_0927400","conserved Plasmodium protein, unknown function"
"3239","PF3D7_0927500","dynein light chain, putative"
"3240","PF3D7_0927600","conserved Plasmodium protein, unknown function"
"3241","PF3D7_0927700","serine/threonine protein phosphatase 4, putative (PPP4)"
"3242","PF3D7_0927800","cytochrome c oxidase subunit 5B, putative (COX5B)"
"3243","PF3D7_0927900","phosphatidylserine decarboxylase (PSD)"
"3244","PF3D7_0928000.1","cytochrome c oxidase subunit 6B, putative (COX6B)"
"3245","PF3D7_0928100","conserved Plasmodium protein, unknown function"
"3246","PF3D7_0928200","conserved Plasmodium protein, unknown function"
"3247","PF3D7_0928300","conserved Plasmodium protein, unknown function"
"3248","PF3D7_0928400","conserved Plasmodium membrane protein, unknown function"
"3249","PF3D7_0928500","conserved Plasmodium protein, unknown function"
"3250","PF3D7_0928600","conserved Plasmodium protein, unknown function"
"3251","PF3D7_0928700","conserved Plasmodium protein, unknown function"
"3252","PF3D7_0928800","serine/threonine protein kinase, putative"
"3253","PF3D7_0928900","guanylate kinase (GK)"
"3254","PF3D7_0929000","transcription initiation factor TFIID subunit 7, putative (TAF7)"
"3255","PF3D7_0929100","conserved Plasmodium protein, unknown function"
"3256","PF3D7_0929200","RNA-binding protein, putative"
"3257","PF3D7_0929300","conserved Plasmodium protein, unknown function"
"3258","PF3D7_0929400","high molecular weight rhoptry protein 2 (RhopH2)"
"3259","PF3D7_0929500","conserved protein, unknown function"
"3260","PF3D7_0929600","G2 protein, putative"
"3261","PF3D7_0929700","conserved Plasmodium protein, unknown function"
"3262","PF3D7_0929800","conserved Plasmodium protein, unknown function"
"3263","PF3D7_0929900","conserved Plasmodium protein, unknown function"
"3264","PF3D7_0930000","procollagen lysine 5-dioxygenase, putative"
"3265","PF3D7_0930100","conserved Plasmodium protein, unknown function"
"3266","PF3D7_0930200","leucine-rich repeat protein (LRR8)"
"3267","PF3D7_0930300","merozoite surface protein 1 (MSP1)"
"3268","PF3D7_0930500","diacylglycerol kinase, putative (DGK1)"
"3269","PF3D7_0930600.1",NA
"3270","PF3D7_0930700","conserved Plasmodium protein, unknown function"
"3271","PF3D7_0930800","conserved Plasmodium membrane protein, unknown function"
"3272","PF3D7_0930900","NifU-like protein, putative (IscU2)"
"3273","PF3D7_0931000","elongation factor Tu, putative"
"3274","PF3D7_0931100","nucleolar protein Nop52, putative"
"3275","PF3D7_0931200","selenoprotein (Sel2)"
"3276","PF3D7_0931300","asparagine-rich antigen, putative"
"3277","PF3D7_0931400","conserved Plasmodium protein, unknown function"
"3278","PF3D7_0931500","conserved Plasmodium protein, unknown function"
"3279","PF3D7_0931600","conserved protein, unknown function"
"3280","PF3D7_0931700","PIH1 domain-containing protein, putative"
"3281","PF3D7_0931800","proteasome subunit beta type-6, putative"
"3282","PF3D7_0931900","adenylate kinase-like protein 2 (AKLP2)"
"3283","PF3D7_0932000","conserved Plasmodium protein, unknown function"
"3284","PF3D7_0932100","protein MAM3, putative"
"3285","PF3D7_0932200","profilin, putative (PFN)"
"3286","PF3D7_0932300","M18 aspartyl aminopeptidase (M18AAP)"
"3287","PF3D7_0932400","peptide release factor, putative"
"3288","PF3D7_0932500","palmitoyltransferase, putative (DHHC6)"
"3289","PF3D7_0932600","apicoplast ribosomal protein S6, putative (RPS6)"
"3290","PF3D7_0932700","conserved Plasmodium protein, unknown function"
"3291","PF3D7_0932800","conserved Plasmodium protein, unknown function"
"3292","PF3D7_0932900","conserved Plasmodium protein, unknown function"
"3293","PF3D7_0933000","mRNA processing protein, putative"
"3294","PF3D7_0933100","conserved Plasmodium protein, unknown function"
"3295","PF3D7_0933200","calcyclin binding protein, putative"
"3296","PF3D7_0933300","conserved Plasmodium protein, unknown function"
"3297","PF3D7_0933400","conserved Plasmodium protein, unknown function"
"3298","PF3D7_0933500","gamma-tubulin complex component, putative"
"3299","PF3D7_0933600","mitochondrial-processing peptidase subunit beta, putative (MAS1)"
"3300","PF3D7_0933700","conserved Plasmodium protein, unknown function"
"3301","PF3D7_0933800","delta tubulin, putative"
"3302","PF3D7_0933900","conserved Plasmodium protein, unknown function"
"3303","PF3D7_0934000","histidine--tRNA ligase, putative"
"3304","PF3D7_0934100","TFIIH basal transcription factor complex helicase XPD subunit (XPD)"
"3305","PF3D7_0934200","conserved Plasmodium protein, unknown function"
"3306","PF3D7_0934300","conserved Plasmodium protein, unknown function"
"3307","PF3D7_0934400","transcription factor with AP2 domain(s), putative (ApiAP2)"
"3308","PF3D7_0934500","V-type proton ATPase subunit E, putative"
"3309","PF3D7_0934600","conserved Plasmodium protein, unknown function"
"3310","PF3D7_0934700","UBX domain, putative"
"3311","PF3D7_0934800","cAMP-dependent protein kinase catalytic subunit (PKAc)"
"3312","PF3D7_0934900","conserved Plasmodium protein, unknown function"
"3313","PF3D7_0935000","U2 small nuclear ribonucleoprotein B'', putative"
"3314","PF3D7_0935100","conserved protein, unknown function"
"3315","PF3D7_0935200","vacuolar protein sorting-associated protein 33, putative (VPS33)"
"3316","PF3D7_0935300","phosphatidylinositol N-acetylglucosaminyltransferase subunit P, putative"
"3317","PF3D7_0935400","gametocyte development protein 1 (GDV1)"
"3318","PF3D7_0935500","Plasmodium exported protein, unknown function (GEXP22)"
"3319","PF3D7_0935600","gametocytogenesis-implicated protein (GIG)"
"3320","PF3D7_0935700","Plasmodium exported protein, unknown function"
"3321","PF3D7_0935800","cytoadherence linked asexual protein 9 (CLAG9)"
"3322","PF3D7_0935900","ring-exported protein 1 (REX1)"
"3323","PF3D7_0936000","ring-exported protein 2 (REX2)"
"3324","PF3D7_0936100","early transcribed membrane protein (ETRAMP9)"
"3325","PF3D7_0936200","Plasmodium exported protein (hyp11), unknown function"
"3326","PF3D7_0936300","ring-exported protein 3 (REX3)"
"3327","PF3D7_0936400","ring-exported protein 4 (REX4)"
"3328","PF3D7_0936500","virulence-associated protein 1 (VAP1)"
"3329","PF3D7_0936600","Plasmodium exported protein (PHISTc), unknown function (GEXP05)"
"3330","PF3D7_0936700","lysophospholipase, putative"
"3331","PF3D7_0936800","Plasmodium exported protein (PHISTc), unknown function"
"3332","PF3D7_0936900","Plasmodium exported protein (PHISTb), unknown function, pseudogene"
"3333","PF3D7_0937000","Plasmodium exported protein (PHISTb), unknown function"
"3334","PF3D7_0937100","Plasmodium exported protein, unknown function"
"3335","PF3D7_0937200","lysophospholipase, putative"
"3336","PF3D7_0937300","rifin (RIF)"
"3337","PF3D7_0937400","rifin (RIF)"
"3338","PF3D7_0937500","rifin (RIF)"
"3339","PF3D7_0937600","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"3340","PF3D7_0937700","rifin (RIF)"
"3341","PF3D7_0937800","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"3342","PF3D7_0800100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"3343","PF3D7_0800200","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"3344","PF3D7_0800300","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"3345","PF3D7_0800400","rifin (RIF)"
"3346","PF3D7_0800500","rifin (RIF)"
"3347","PF3D7_0800600","Plasmodium exported protein (PHISTa), unknown function"
"3348","PF3D7_0800650",NA
"3349","PF3D7_0800700","surface-associated interspersed protein 8.3 (SURFIN 8.3) (SURF8.3)"
"3350","PF3D7_0800750",NA
"3351","PF3D7_0800800","Plasmodium exported protein (hyp7), unknown function"
"3352","PF3D7_0800900","Plasmodium exported protein (hyp7), unknown function, pseudogene"
"3353","PF3D7_0801000","Plasmodium exported protein (PHISTc), unknown function"
"3354","PF3D7_0801100","28S ribosomal RNA"
"3355","PF3D7_0801200","5.8S ribosomal RNA"
"3356","PF3D7_0801300","von Willebrand factor A domain-related protein (WARP)"
"3357","PF3D7_0801400","probable protein, unknown function"
"3358","PF3D7_0801500","nucleolar protein 10, putative (NOL10)"
"3359","PF3D7_0801600","conserved Plasmodium protein, unknown function"
"3360","PF3D7_0801700","sentrin-specific protease 2, putative (SENP2)"
"3361","PF3D7_0801800","mannose-6-phosphate isomerase, putative"
"3362","PF3D7_0801900","conserved Plasmodium protein, unknown function"
"3363","PF3D7_0802000","glutamate dehydrogenase, putative (GDH3)"
"3364","PF3D7_0802100","transcription factor with AP2 domain(s) (ApiAP2)"
"3365","PF3D7_0802200","1-cys peroxiredoxin (1-CysPxn)"
"3366","PF3D7_0802300","periodic tryptophan protein 2, putative (PWP2)"
"3367","PF3D7_0802400","conserved Plasmodium protein, unknown function"
"3368","PF3D7_0802500","inositol 5-phosphatase, putative"
"3369","PF3D7_0802600","adenylyl cyclase beta (ACbeta)"
"3370","PF3D7_0802700","conserved Plasmodium protein, unknown function"
"3371","PF3D7_0802800","serine/threonine protein phosphatase 2B catalytic subunit A (CNA)"
"3372","PF3D7_0802900","conserved Plasmodium protein, unknown function"
"3373","PF3D7_0803000","peptidyl-prolyl cis-trans isomerase (CYP81)"
"3374","PF3D7_0803100","U3 small nucleolar RNA-associated protein 14, putative (UTP14)"
"3375","PF3D7_0803200","filament assembling protein, putative"
"3376","PF3D7_0803300","mitogen-activated protein kinase organizer 1, putative (MORG1)"
"3377","PF3D7_0803400","DNA repair and recombination protein RAD54, putative (RAD54)"
"3378","PF3D7_0803500","AAA family ATPase, putative"
"3379","PF3D7_0803600.1",NA
"3380","PF3D7_0803700","tubulin gamma chain (g-tub)"
"3381","PF3D7_0803800","proteasome subunit beta type-4"
"3382","PF3D7_0803900","C/D small nucleolar RNA"
"3383","PF3D7_0804000","cactin homolog, putative"
"3384","PF3D7_0804300","conserved Plasmodium protein, unknown function"
"3385","PF3D7_0804400","methionine aminopeptidase 1c, putative (METAP1c)"
"3386","PF3D7_0804500","conserved Plasmodium membrane protein, unknown function"
"3387","PF3D7_0804600","U2 snRNA/tRNA pseudouridine synthase, putative"
"3388","PF3D7_0804700","conserved Plasmodium protein, unknown function"
"3389","PF3D7_0804800","peptidyl-prolyl cis-trans isomerase (CYP24)"
"3390","PF3D7_0804900","GTPase-activating protein, putative"
"3391","PF3D7_0805000","alpha/beta hydrolase, putative"
"3392","PF3D7_0805100","conserved Plasmodium protein, unknown function"
"3393","PF3D7_0805200","gamete release protein, putative (GAMER)"
"3394","PF3D7_0805300","conserved Plasmodium protein, unknown function"
"3395","PF3D7_0805400","acetyltransferase, putative"
"3396","PF3D7_0805500","conserved Plasmodium protein, unknown function"
"3397","PF3D7_0805600","PAP2-like protein, putative"
"3398","PF3D7_0805700","serine/threonine protein kinase, FIKK family (FIKK8)"
"3399","PF3D7_0805800","conserved Plasmodium protein, unknown function"
"3400","PF3D7_0805900","conserved protein, unknown function"
"3401","PF3D7_0806000","AAA family ATPase, putative"
"3402","PF3D7_0806100","conserved Plasmodium protein, unknown function"
"3403","PF3D7_0806200","conserved Plasmodium membrane protein, unknown function"
"3404","PF3D7_0806300","ferlin, putative"
"3405","PF3D7_0806400","glycosyltransferase family 28 protein, putative"
"3406","PF3D7_0806500","DnaJ protein, putative"
"3407","PF3D7_0806600","kinesin-like protein, putative"
"3408","PF3D7_0806700","conserved Plasmodium membrane protein, unknown function"
"3409","PF3D7_0806800","vacuolar proton translocating ATPase subunit A, putative"
"3410","PF3D7_0806900","conserved Plasmodium protein, unknown function"
"3411","PF3D7_0807000","gas41 homologue, putative"
"3412","PF3D7_0807100","RNA helicase, putative"
"3413","PF3D7_0807200","conserved Plasmodium membrane protein, unknown function"
"3414","PF3D7_0807300","ras-related protein Rab-18 (RAB18)"
"3415","PF3D7_0807400","conserved Plasmodium protein, unknown function"
"3416","PF3D7_0807500","proteasome subunit alpha type-6, putative"
"3417","PF3D7_0807600","conserved Plasmodium protein, unknown function"
"3418","PF3D7_0807700","serine protease DegP (DegP)"
"3419","PF3D7_0807800","26S proteasome regulatory subunit RPN10, putative (RPN10)"
"3420","PF3D7_0807900","tyrosine--tRNA ligase (TyrRS)"
"3421","PF3D7_0808000","conserved Plasmodium protein, unknown function"
"3422","PF3D7_0808100","AP-3 complex subunit delta, putative"
"3423","PF3D7_0808200","plasmepsin X"
"3424","PF3D7_0808300","ubiquitin regulatory protein, putative"
"3425","PF3D7_0808400","coatomer subunit epsilon, putative (SEC28)"
"3426","PF3D7_0808500","Plasmodium RNA of unknown function RUF6-4"
"3427","PF3D7_0808600","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"3428","PF3D7_0808700","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"3429","PF3D7_0808800","rifin (RIF)"
"3430","PF3D7_0808900","rifin (RIF)"
"3431","PF3D7_0809000","Plasmodium RNA of unknown function RUF6-10"
"3432","PF3D7_0809100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"3433","PF3D7_0809200","asparagine-rich antigen Pfa55-14 (pfa55-14)"
"3434","PF3D7_0809300","unspecified product"
"3435","PF3D7_0809400","conserved Plasmodium protein, unknown function"
"3436","PF3D7_0809500","histone acetyltransferase subunit NuA4, putative"
"3437","PF3D7_0809600","peptidase family C50, putative"
"3438","PF3D7_0809700","RuvB-like helicase 1 (RUVB1)"
"3439","PF3D7_0809800","conserved Plasmodium protein, unknown function"
"3440","PF3D7_0809900","JmjC domain containing protein (JmjC1)"
"3441","PF3D7_0810000","acyl-CoA binding protein, putative"
"3442","PF3D7_0810100","apicoplast ribosomal protein L33 precursor, putative"
"3443","PF3D7_0810200","ABC1 family, putative (ABCK1)"
"3444","PF3D7_0810300","protein phosphatase PPM5, putative (PPM5)"
"3445","PF3D7_0810400","aquaporin, putative (AQP2)"
"3446","PF3D7_0810500","protein phosphatase PPM7, putative (PPM7)"
"3447","PF3D7_0810600","RNA helicase, putative"
"3448","PF3D7_0810700","conserved Plasmodium protein, unknown function"
"3449","PF3D7_0810800","hydroxymethyldihydropterin pyrophosphokinase-dihydropteroate synthase (PPPK-DHPS)"
"3450","PF3D7_0810900.1","conserved Plasmodium protein, unknown function"
"3451","PF3D7_0811000","cullin-1, putative (CUL1)"
"3452","PF3D7_0811100","mitochondrial carrier protein, putative"
"3453","PF3D7_0811200","ER membrane protein complex subunit 1, putative (EMC1)"
"3454","PF3D7_0811300","CCR4-associated factor 1 (CAF1)"
"3455","PF3D7_0811400","conserved protein, unknown function"
"3456","PF3D7_0811500","histone-arginine methyltransferase CARM1, putative (CARM1)"
"3457","PF3D7_0811600","conserved Plasmodium protein, unknown function"
"3458","PF3D7_0811700","conserved Plasmodium protein, unknown function"
"3459","PF3D7_0811800","conserved Plasmodium protein, unknown function"
"3460","PF3D7_0811900","RNA-binding protein, putative"
"3461","PF3D7_0812000","conserved Plasmodium protein, unknown function"
"3462","PF3D7_0812100","conserved Plasmodium protein, unknown function"
"3463","PF3D7_0812220","GTPase, putative"
"3464","PF3D7_0812200","trypsin-like serine protease, putative"
"3465","PF3D7_0812300","sporozoite surface protein 3, putative (SSP3)"
"3466","PF3D7_0812400","karyopherin alpha (KARalpha)"
"3467","PF3D7_0812500","RNA-binding protein, putative"
"3468","PF3D7_0812600","ubiquitin-conjugating enzyme, putative"
"3469","PF3D7_0812700","RNA-binding protein (U1 snRNP-like), putative"
"3470","PF3D7_0812800","conserved Plasmodium protein, unknown function"
"3471","PF3D7_0812900","probable protein, unknown function"
"3472","PF3D7_0813000","conserved Plasmodium protein, unknown function"
"3473","PF3D7_0813100","conserved Plasmodium protein, unknown function"
"3474","PF3D7_0813200","CS domain protein, putative"
"3475","PF3D7_0813300","conserved Plasmodium protein, unknown function"
"3476","PF3D7_0813400","conserved Plasmodium protein, unknown function"
"3477","PF3D7_0813500","conserved Plasmodium protein, unknown function"
"3478","PF3D7_0813600","translation initiation factor SUI1, putative"
"3479","PF3D7_0813700","ABC transporter F family member 1, putative (ABCF1)"
"3480","PF3D7_0813800","GDP-mannose 4,6-dehydratase (GMD)"
"3481","PF3D7_0813900","40S ribosomal protein S16, putative"
"3482","PF3D7_0814000","60S ribosomal protein L13-2, putative"
"3483","PF3D7_0814100","conserved Plasmodium protein, unknown function"
"3484","PF3D7_0814200","DNA/RNA-binding protein Alba 1 (ALBA1)"
"3485","PF3D7_0814300","ATPase, putative"
"3486","PF3D7_0814400","phospholipase DDHD1, putative"
"3487","PF3D7_0814500","conserved Plasmodium protein, unknown function"
"3488","PF3D7_0814600","conserved Plasmodium protein, unknown function"
"3489","PF3D7_0814700","conserved Plasmodium protein, unknown function"
"3490","PF3D7_0814900","superoxide dismutase [Fe] (FeSOD)"
"3491","PF3D7_0815000","selenoprotein (Sel3)"
"3492","PF3D7_0815100","RAP protein, putative"
"3493","PF3D7_0815200","importin beta, putative"
"3494","PF3D7_0815300","FAD-dependent monooxygenase, putative"
"3495","PF3D7_0815400","conserved Plasmodium protein, unknown function"
"3496","PF3D7_0815500","conserved Plasmodium protein, unknown function"
"3497","PF3D7_0815600","eukaryotic translation initiation factor 3 subunit G, putative (EIF3G)"
"3498","PF3D7_0815700","ubiquitin (Ub)"
"3499","PF3D7_0815800","vacuolar protein sorting-associated protein 9, putative (VPS9)"
"3500","PF3D7_0815900","dihydrolipoyl dehydrogenase, apicoplast (aLipDH)"
"3501","PF3D7_0816000","ribosome assembly protein RRB1, putative (RRB1)"
"3502","PF3D7_0816100","phosphopantothenoylcysteine decarboxylase, putative"
"3503","PF3D7_0816200","vacuolar protein sorting-associated protein 2, putative (VPS2)"
"3504","PF3D7_0816300","conserved Plasmodium protein, unknown function"
"3505","PF3D7_0816400","conserved Plasmodium protein, unknown function"
"3506","PF3D7_0816500","small heat shock protein HSP20, putative (HSP20)"
"3507","PF3D7_0816600","chaperone protein ClpB1 (ClpB1)"
"3508","PF3D7_0816700","trafficking protein particle complex subunit 2-like protein, putative (TRAPPC2L)"
"3509","PF3D7_0816800","meiotic recombination protein DMC1, putative (DMC1)"
"3510","PF3D7_0816900","adenylate kinase 2 (AK2)"
"3511","PF3D7_0817000","NEDD8-activating enzyme E1 catalytic subunit, putative"
"3512","PF3D7_0817100","GTPase, putative"
"3513","PF3D7_0817200","conserved Plasmodium protein, unknown function"
"3514","PF3D7_0817300","asparagine-rich antigen"
"3515","PF3D7_0817400","phosphatase, putative"
"3516","PF3D7_0817500","protein kinase c inhibitor-like protein, putative"
"3517","PF3D7_0817600","conserved Plasmodium protein, unknown function"
"3518","PF3D7_0817700","rhoptry neck protein 5 (RON5)"
"3519","PF3D7_0817800","conserved Plasmodium protein, unknown function"
"3520","PF3D7_0817900","high mobility group protein B2 (HMGB2)"
"3521","PF3D7_0818000","conserved protein, unknown function"
"3522","PF3D7_0818100","zinc finger protein, putative"
"3523","PF3D7_0818200","14-3-3 protein (14-3-3I)"
"3524","PF3D7_0818300","dynactin subunit 6, putative"
"3525","PF3D7_0818400","rRNA-processing protein FCF1, putative (FCF1)"
"3526","PF3D7_0818500","zinc finger protein, putative"
"3527","PF3D7_0818600","BEM46-like protein, putative (PBLP)"
"3528","PF3D7_0818700","DNA helicase, putative"
"3529","PF3D7_0818800","U3 small nucleolar ribonucleoprotein protein IMP4, putative (IMP4)"
"3530","PF3D7_0818900","heat shock protein 70 (HSP70)"
"3531","PF3D7_0819000","conserved Plasmodium protein, unknown function"
"3532","PF3D7_0819100","BRIX domain, putative"
"3533","PF3D7_0819200","perforin-like protein 5 (PLP5)"
"3534","PF3D7_0819300","conserved Plasmodium protein, unknown function"
"3535","PF3D7_0819400","perforin-like protein 4 (PLP4)"
"3536","PF3D7_0819500","conserved protein, unknown function"
"3537","PF3D7_0819600","conserved Plasmodium protein, unknown function"
"3538","PF3D7_0819700","conserved Plasmodium protein, unknown function"
"3539","PF3D7_0819800","conserved Plasmodium protein, unknown function"
